landuse,mean_lst
scrub,27.149999618530273
tree_pit,26.7336368560791
highway,26.642536295221205
parking,26.33333396911621
basin,26.290510779932927
institutional,26.2336368560791
village_green,26.23348617553711
storage,26.133334159851074
retail,26.02779957100197
logistics,26.008333206176758
apiary,25.991817474365234
religious,25.991666793823242
education,25.909461339314777
recreation_ground,25.71554214075992
railway,25.66187061180063
flowerbed,25.65094687721946
animal_keeping,25.649924596150715
commercial,25.603149913372505
landfill,25.584182739257812
construction,25.556249918427856
residential,25.54415960152978
grass,25.47836675467292
greenfield,25.3168681751598
depot,25.225050184461807
allotments,25.20966063255121
cemetery,25.207758167811804
forest,25.152284777653115
industrial,25.116072932734763
harbour,24.973997116088867
plant_nursery,24.954431533813477
brownfield,24.944734285748194
static_caravan,24.714391535850027
orchard,24.508409163531134
military,24.101667404174805
greenhouse_horticulture,24.02138900756836
farmland,23.975014701034084
vineyard,23.766666412353516
farmyard,23.70794861404984
asphalt,23.680908203125
meadow,23.3638935867621
